date,confirmed,recoverd,death,avg_temp,min_temp,max_temp,avg_relative_humidity
2020-03-14,8086,714,72,5.699999999999999,0.2,10.53125,43.34375
2020-03-15,8126,834,75,6.012499999999999,1.7000000000000002,11.625000000000002,50.36874999999999
2020-03-16,8236,1137,75,4.937499999999999,-0.42499999999999993,10.625,50.18749999999999
2020-03-17,8320,1401,81,8.725000000000001,2.5312500000000004,14.862499999999999,61.69374999999999
2020-03-18,8413,1540,84,11.106250000000001,4.19375,17.7,53.43749999999999
2020-03-19,8565,1947,91,10.83125,6.59375,16.675,52.324999999999996
2020-03-20,8652,2233,94,10.01875,4.48125,15.543750000000001,41.67499999999999
2020-03-21,8799,2612,102,13.75,6.9,20.9,58.04374999999999
2020-03-22,8897,2909,104,12.3625,7.399999999999999,17.91875,58.10624999999999
2020-03-23,8961,3166,111,10.625,4.699999999999999,17.275000000000002,50.24375
2020-03-24,9037,3507,120,10.393749999999997,4.50625,16.993750000000002,55.90625
2020-03-25,9137,3730,126,12.5125,5.05625,19.406249999999996,55.849999999999994
2020-03-26,9241,4144,131,14.318750000000001,9.387500000000001,18.86875,75.50625
2020-03-27,9332,4528,139,11.862500000000002,7.387500000000001,16.41875,82.08125
2020-03-28,9478,4811,144,7.8125,4.975,11.4125,49.5
2020-03-29,9583,5033,152,8.487499999999999,2.45625,14.725000000000001,58.668749999999996
2020-03-30,9661,5228,158,10.46875,5.512500000000001,16.6875,59.3125
2020-03-31,9786,5408,162,11.5375,4.8687499999999995,18.4375,59.012499999999996
2020-04-01,9887,5567,165,11.28125,7.0062500000000005,17.4,54.481249999999996
2020-04-02,9976,5828,169,10.225000000000003,4.000000000000001,16.5625,49.40625
2020-04-03,10062,6021,174,11.55,5.812499999999999,18.031250000000004,44.78125
2020-04-04,10156,6325,177,9.93125,5.175,16.606249999999996,45.606249999999996
2020-04-05,10237,6463,183,7.75,2.3125,13.89375,41.2
2020-04-06,10284,6598,186,9.85,2.55625,16.368750000000002,48.68124999999999
2020-04-07,10331,6694,192,12.25,6.5375000000000005,18.98125,50.675
2020-04-08,10384,6776,200,10.618749999999999,5.9437500000000005,16.374999999999996,43.525
2020-04-09,10423,6973,204,9.65625,3.83125,15.781250000000004,49.887499999999996
2020-04-10,10450,7117,208,10.037500000000001,6.05625,14.787500000000003,58.73749999999999
2020-04-11,10480,7243,211,9.55,5.61875,14.249999999999998,69.3625
2020-04-12,10512,7368,214,9.05625,4.9625,14.087499999999999,72.03750000000001
2020-04-13,10537,7447,217,10.35625,5.4375,16.53125,47.724999999999994
2020-04-14,10564,7534,222,13.14375,5.21875,20.90625,43.15625
2020-04-15,10591,7616,225,13.0,7.049999999999998,20.131249999999998,45.35624999999999
2020-04-16,10613,7757,229,13.8125,7.724999999999999,20.143749999999997,56.18124999999999
2020-04-17,10635,7829,230,12.44375,9.787500000000001,15.80625,82.23124999999999
2020-04-18,10653,7937,232,12.81875,9.075,18.474999999999994,74.1125
2020-04-19,10661,8042,234,11.418750000000001,8.962499999999999,14.774999999999999,85.175
2020-04-20,10674,8114,236,12.00625,8.631249999999998,16.78125,73.61249999999998
2020-04-21,10683,8213,237,9.781250000000002,5.999999999999999,14.543749999999998,44.037499999999994
2020-04-22,10694,8277,238,7.949999999999999,4.79375,12.30625,41.66875
2020-04-23,10702,8411,240,9.168750000000001,4.2,14.662499999999998,45.537499999999994
2020-04-24,10708,8501,240,10.94375,4.4875,16.10625,43.91875
2020-04-25,10718,8635,240,14.874999999999998,8.73125,20.625000000000004,51.175
2020-04-26,10728,8717,242,12.562499999999998,7.3875,18.7,53.08124999999999
2020-04-27,10738,8764,243,12.3375,6.825,18.343749999999996,55.125
2020-04-28,10752,8854,244,13.806249999999999,6.724999999999999,20.493750000000002,51.21874999999999
2020-04-29,10761,8922,246,15.70625,9.524999999999999,22.85625,45.981249999999996
2020-04-30,10765,9059,247,17.843750000000004,9.706249999999999,24.362500000000004,58.11249999999999
2020-05-01,10774,9072,248,21.11875,16.2625,26.7875,71.7
2020-05-02,10780,9123,250,20.7875,17.76875,24.987499999999997,74.63749999999999
2020-05-03,10793,9183,250,18.968749999999996,16.2625,22.437500000000004,84.625
2020-05-04,10801,9217,252,19.05625,13.737499999999999,25.812499999999996,77.44374999999998
2020-05-05,10804,9283,254,15.393749999999997,12.487499999999999,19.7375,82.8875
2020-05-06,10806,9333,255,18.175,12.48125,24.94375,66.13125
2020-05-07,10810,9419,256,17.831250000000004,12.168750000000001,23.7375,47.35000000000001
2020-05-08,10822,9484,256,17.943749999999998,11.625,23.65,55.6
2020-05-09,10840,9568,256,16.143749999999997,13.70625,19.043749999999996,92.85625
2020-05-10,10874,9610,256,16.175000000000004,13.731250000000001,19.818750000000005,82.04375
2020-05-11,10909,9632,256,18.51875,13.731249999999998,24.712500000000002,60.762499999999996
2020-05-12,10936,9670,258,17.012499999999996,12.868750000000002,22.1,59.5375
2020-05-13,10962,9695,259,17.025000000000002,10.556249999999999,22.95,47.49999999999999
