Date,Confirmed,Recovered,Deaths,NewCases,lockdown_severity,maximum_together,mentality_grade,government_performance,kindergarten_closed,Highschool closed,restaurants_closed_to_everyone,Month,Spring holiday,Passenger transport inc transit,Transit direct,Cargo,Cargo Europe,Cargo Far East,Travel advice Italy updated,Second confirmed case,Third Confirmed case,Stricter social distance rules,Decline in patients,Contact professions closed,DDVEC_S,FHVEC_S,FHXH_S,FHN_S,FHNH_S,FXXH_S,TG_S,TN_S,TNH_S,TXH_S,T10NH_S,SQ_S,DR_S,RH_S,RHXH_S,PG_S,PXH_S,PNH_S,VVN_S,VVNH_S,VVX_S,VVXH_S,NG_S,UG_S,UX_S,UXH_S,UNH_S,FHXH,FHNH,FXXH,TNH,TXH,T10NH,RHX,RHXH,VVN,VVNH,VVXH,UX,UXH,UNH,Population,Children born,Deats total,Immigration,Emmigration
2020-02-11,0.0,0.0,0.0,0.0,0.0,1000.0,7.0,8.0,0.0,0.0,1.0,200.0,0.0,4719956.0,187.0,116293.0,5521.0,16860.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,142.0,1.0,130.0,17.0,3.0,62.0,37.0,17.0,13.0,18.0,31.0,11.0,5.0,17.0,10019.0,24.0,1.0,66.0,2.0,80.0,18.0,7.0,60.0,66.0,17.0,15.0,1.0,17.0,1.0,1.0,13.0,6.0,3.0,1.0,67.0,5.0,19.0,60.0,1.0,19.0,17414806.0,12866.0,12872.0,21320.0,12140.0
2020-02-12,0.0,0.0,0.0,0.0,0.0,1000.0,7.0,8.0,0.0,0.0,1.0,200.0,0.0,4719956.0,187.0,116293.0,5521.0,16860.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,93.0,1.0,40.0,22.0,1.0,53.0,13.0,23.0,13.0,24.0,34.0,1.0,1.0,16.0,10115.0,18.0,1.0,66.0,24.0,80.0,17.0,6.0,68.0,88.0,24.0,12.0,1.0,20.0,2.0,22.0,14.0,24.0,1.0,16.0,66.0,24.0,15.0,84.0,23.0,13.0,17414806.0,12866.0,12872.0,21320.0,12140.0
2020-02-13,0.0,0.0,0.0,0.0,0.0,1000.0,7.0,8.0,0.0,0.0,1.0,200.0,0.0,4719956.0,187.0,116293.0,5521.0,16860.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,48.0,10.0,40.0,2.0,10.0,57.0,31.0,1.0,13.0,6.0,9.0,65.0,106.0,10.0,10009.0,1.0,15.0,50.0,11.0,70.0,4.0,7.0,88.0,93.0,11.0,13.0,9.0,16.0,8.0,1.0,13.0,6.0,31.0,10.0,57.0,16.0,13.0,91.0,16.0,14.0,17414806.0,12866.0,12872.0,21320.0,12140.0
2020-02-14,0.0,0.0,0.0,0.0,0.0,1000.0,7.0,8.0,0.0,0.0,1.0,200.0,0.0,4719956.0,187.0,116293.0,5521.0,16860.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,38.0,5.0,40.0,1.0,23.0,73.0,57.0,4.0,12.0,6.0,21.0,0.0,-1.0,1.0,10172.0,18.0,1.0,59.0,4.0,80.0,14.0,8.0,80.0,94.0,4.0,14.0,14.0,1.0,15.0,5.0,17.0,6.0,1.0,2.0,59.0,5.0,12.0,93.0,5.0,12.0,17414806.0,12866.0,12872.0,21320.0,12140.0
2020-02-15,0.0,0.0,0.0,0.0,0.0,1000.0,7.0,8.0,0.0,0.0,1.0,200.0,0.0,4719956.0,187.0,116293.0,5521.0,16860.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,100.0,22.0,60.0,3.0,22.0,103.0,73.0,5.0,22.0,6.0,9.0,2.0,1.0,19.0,10115.0,1.0,24.0,59.0,23.0,75.0,15.0,8.0,80.0,88.0,7.0,22.0,20.0,1.0,23.0,1.0,24.0,6.0,1.0,19.0,64.0,7.0,17.0,82.0,5.0,22.0,17414806.0,12866.0,12872.0,21320.0,12140.0
2020-02-16,0.0,0.0,0.0,0.0,0.0,1000.0,7.0,8.0,0.0,1.0,1.0,200.0,0.0,4719956.0,187.0,116293.0,5521.0,16860.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,130.0,8.0,100.0,18.0,16.0,114.0,81.0,19.0,15.0,24.0,0.0,87.0,130.0,16.0,9983.0,24.0,15.0,28.0,11.0,75.0,2.0,8.0,84.0,97.0,16.0,24.0,16.0,19.0,16.0,19.0,15.0,24.0,66.0,17.0,56.0,10.0,12.0,92.0,17.0,15.0,17414806.0,12866.0,12872.0,21320.0,12140.0
2020-02-17,0.0,0.0,0.0,0.0,0.0,1000.0,7.0,8.0,0.0,1.0,1.0,200.0,0.0,4719956.0,187.0,116293.0,5521.0,16860.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,105.0,1.0,70.0,21.0,1.0,80.0,53.0,12.0,11.0,12.0,53.0,12.0,32.0,12.0,10095.0,24.0,1.0,59.0,12.0,75.0,13.0,6.0,76.0,86.0,21.0,5.0,1.0,22.0,1.0,8.0,11.0,12.0,19.0,21.0,61.0,5.0,14.0,87.0,21.0,4.0,17414806.0,12866.0,12872.0,21320.0,12140.0
2020-02-18,0.0,0.0,0.0,0.0,0.0,1000.0,7.0,8.0,0.0,1.0,1.0,200.0,0.0,4719956.0,187.0,116293.0,5521.0,16860.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,96.0,18.0,70.0,8.0,19.0,77.0,51.0,23.0,12.0,24.0,57.0,19.0,50.0,23.0,10163.0,10.0,24.0,57.0,22.0,77.0,15.0,7.0,74.0,92.0,24.0,15.0,21.0,6.0,17.0,24.0,15.0,24.0,37.0,24.0,58.0,11.0,16.0,91.0,24.0,15.0,17414806.0,12866.0,12872.0,21320.0,12140.0
2020-02-19,0.0,0.0,0.0,0.0,0.0,1000.0,7.0,8.0,0.0,1.0,1.0,200.0,0.0,4719956.0,187.0,116293.0,5521.0,16860.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,69.0,11.0,50.0,19.0,12.0,64.0,53.0,7.0,13.0,12.0,38.0,45.0,11.0,23.0,10166.0,15.0,1.0,60.0,20.0,73.0,16.0,7.0,78.0,93.0,24.0,15.0,12.0,1.0,12.0,1.0,13.0,6.0,38.0,1.0,61.0,21.0,15.0,92.0,1.0,15.0,17414806.0,12866.0,12872.0,21320.0,12140.0
2020-02-20,0.0,0.0,0.0,0.0,0.0,1000.0,7.0,8.0,0.0,1.0,1.0,200.0,0.0,4719956.0,187.0,116293.0,5521.0,16860.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,79.0,10.0,80.0,1.0,21.0,79.0,44.0,21.0,12.0,24.0,1.0,59.0,90.0,18.0,10113.0,24.0,17.0,28.0,1.0,75.0,11.0,7.0,83.0,95.0,1.0,23.0,12.0,1.0,18.0,21.0,15.0,24.0,22.0,18.0,56.0,18.0,9.0,92.0,1.0,24.0,17414806.0,12866.0,12872.0,21320.0,12140.0
2020-02-21,0.0,0.0,0.0,0.0,0.0,1000.0,7.0,8.0,0.0,1.0,1.0,200.0,0.0,4719956.0,187.0,116293.0,5521.0,16860.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,96.0,24.0,70.0,5.0,24.0,77.0,50.0,2.0,24.0,6.0,30.0,0.0,0.0,1.0,10212.0,11.0,1.0,63.0,11.0,74.0,1.0,5.0,75.0,78.0,17.0,1.0,21.0,6.0,21.0,8.0,15.0,6.0,0.0,1.0,64.0,8.0,1.0,81.0,8.0,2.0,17414806.0,12866.0,12872.0,21320.0,12140.0
2020-02-22,0.0,0.0,0.0,0.0,0.0,1000.0,7.0,8.0,0.0,1.0,1.0,200.0,1.0,4719956.0,187.0,116293.0,5521.0,16860.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,121.0,13.0,70.0,23.0,13.0,94.0,75.0,6.0,14.0,12.0,11.0,42.0,24.0,21.0,10162.0,24.0,9.0,58.0,11.0,75.0,21.0,8.0,81.0,88.0,23.0,1.0,7.0,23.0,8.0,8.0,15.0,12.0,6.0,8.0,60.0,24.0,7.0,85.0,12.0,7.0,17414806.0,12866.0,12872.0,21320.0,12140.0
