country,covid19_first_date,Population_2020,Density_KM2m,Urban_pop_pct,Health_Care_Index,hosp_beds_per_1000_2017,ICU-CCB_beds_per_100000,age_0_to_14_years_percent,age_15_to_64_years_percent,age_over_65_years_percent,sex_male_to_female_total,first_school_closure_date,airport_traffic_2018_thousands,gdp_usd_million
Georgia,2020-02-26 22:00:00,3989167.0,57,58%,51.24,,,19.2,66.0,14.9,0.92,2020-03-02 00:00:00,516034.0,15925.0
Germany,2020-01-27 20:30:00,83783942.0,240,76%,73.32,8.0,29.2,13.1,65.5,21.5,0.97,2020-03-03 00:00:00,110000000.0,3863344.0
Ghana,2020-03-14 22:00:00,31072940.0,137,57%,,,,38.5,58.1,3.4,0.97,2020-03-16 00:00:00,467438.0,67077.0
Greece,2020-02-26 22:00:00,10423054.0,81,85%,56.21,4.21,6.0,14.2,65.4,20.4,0.95,2020-03-05 00:00:00,15125934.0,214012.0
Grenada,2020-03-22 22:00:00,112523.0,331,35%,,,,26.3,66.4,7.3,1.03,2020-03-16 00:00:00,,1238.0
Guatemala,2020-03-14 22:00:00,17915568.0,167,52%,67.75,,,35.1,60.3,4.7,0.97,2020-03-16 00:00:00,145795.0,81318.0
Guinea,2020-03-13 22:00:00,13132795.0,53,39%,,,,42.3,54.6,3.1,1,2020-03-25 00:00:00,,13368.0
Guinea-Bissau,2020-03-25 22:00:00,1968001.0,70,45%,,,,40.7,55.5,3.0,0.96,2020-03-17 00:00:00,,
Guyana,2020-03-12 22:00:00,786552.0,4,27%,,,,28.1,65.7,5.3,1.02,2020-03-16 00:00:00,26069.0,4121.0
Haiti,2020-03-20 22:00:00,11402528.0,414,57%,,,,33.0,62.2,4.8,0.98,2020-03-20 00:00:00,,8819.0
Holy See,2020-03-10 22:00:00,801.0,"2,003",N.A.,,,,,,,,,,
Honduras,2020-03-11 22:00:00,9904607.0,89,57%,,,,31.6,63.7,4.7,1.01,2020-03-12 00:00:00,411989.0,24449.0
Hungary,2020-03-04 22:00:00,9660351.0,107,72%,47.8,7.02,13.8,14.3,67.1,18.6,0.91,2020-03-11 00:00:00,31226848.0,170407.0
